==== Test Report ====
Test: check_spatial_statistical_outliers_min_series
File: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Variable: pr
Dataset Name: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Parameters: {'threshold': 4.5, 'method': 'IQR'}
--- Messages ---
Outliers detected: 3212 points.
Outliers detected in minimum time series: 3212 points.

--- Results (coordinates, values) ---
iqr	(6, 22)	1.8541986836085333e-27,IQR:1.0819311093058758e-28
iqr	(6, 27)	2.867451766654442e-26,IQR:1.0819311093058758e-28
iqr	(6, 28)	2.314124852135398e-26,IQR:1.0819311093058758e-28
iqr	(6, 49)	3.4882689671774497e-25,IQR:1.0819311093058758e-28
iqr	(7, 49)	2.5698850361505187e-27,IQR:1.0819311093058758e-28
The rest of the coordinates are in the summary
--- Summary ---
Dataset: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Test: check_spatial_statistical_outliers
Variable: pr
Parameters: {'threshold': 4.5, 'method': 'IQR'}
Score: 0/1
Messages: ['Outliers detected: 3212 points.', 'Outliers detected in minimum time series: 3212 points.']
Coordinates and results:
Name	Index	Value	Score
iqr	(6, 22)	1.8541986836085333e-27	IQR:1.0819311093058758e-28
iqr	(6, 27)	2.867451766654442e-26	IQR:1.0819311093058758e-28
iqr	(6, 28)	2.314124852135398e-26	IQR:1.0819311093058758e-28
iqr	(6, 49)	3.4882689671774497e-25	IQR:1.0819311093058758e-28
iqr	(7, 49)	2.5698850361505187e-27	IQR:1.0819311093058758e-28
iqr	(7, 51)	1.0711488526672294e-13	IQR:1.0819311093058758e-28
iqr	(7, 73)	3.089017341840879e-25	IQR:1.0819311093058758e-28
iqr	(7, 74)	3.289459855301807e-22	IQR:1.0819311093058758e-28
iqr	(7, 75)	2.1837212237359495e-22	IQR:1.0819311093058758e-28
iqr	(7, 76)	1.1684490187858749e-23	IQR:1.0819311093058758e-28
iqr	(7, 77)	4.0734993941314016e-21	IQR:1.0819311093058758e-28
iqr	(7, 78)	2.231454155814478e-23	IQR:1.0819311093058758e-28
iqr	(8, 48)	8.448071478790194e-28	IQR:1.0819311093058758e-28
iqr	(8, 72)	4.5546000601116004e-24	IQR:1.0819311093058758e-28
iqr	(8, 73)	6.923522902892523e-17	IQR:1.0819311093058758e-28
iqr	(8, 74)	2.7156885578567154e-20	IQR:1.0819311093058758e-28
iqr	(8, 75)	5.815015082762429e-19	IQR:1.0819311093058758e-28
iqr	(8, 76)	8.370518657183298e-24	IQR:1.0819311093058758e-28
iqr	(8, 77)	2.4507923910041593e-17	IQR:1.0819311093058758e-28
